solar_generation,non_shiftable_load_demand,dhw_demand,heating_demand,cooling_demand,energy_from_electrical_storage,energy_from_dhw_storage,energy_from_dhw_device,energy_from_heating_device,energy_from_cooling_device,energy_to_electrical_storage,energy_from_dhw_device_to_dhw_storage,electrical_storage_electricity_consumption,dhw_storage_electricity_consumption,dhw_electricity_consumption,heating_electricity_consumption,cooling_electricity_consumption,net_electricity_consumption,net_electricity_consumption_without_storage,net_electricity_consumption_without_storage_and_pv,electrical_storage_soc,dhw_storage_soc,timestamp,time_step,mode,episode,building_id,building_name,simulation_id
-0.0,0.2550089680139198,0.5279228882947614,7.823906645675576,0.0,-0.0,-0.0,0.5279228882947614,7.823906645675576,0.0,0.0,0.0,0.0,0.0,0.5865809869941794,5.93893903797156,0.0,6.780528992979659,6.780528992979659,6.780528992979659,0.0,0.0,2018-01-01 00:00:00,0,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.2512691623649519,0.0,10.086273950318107,0.0,-0.0,-0.0,0.0,10.086273950318107,0.0,2.326954387128353,0.0,2.326954387128353,0.0,0.0,7.656247553046748,0.0,10.234471102540054,7.907516715411701,7.907516715411701,0.16052397928019319,0.0,2018-01-01 01:00:00,1,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.2491808440269065,0.0,8.509257216848294,0.0,1.0499123301567876,-0.0,0.0,8.509257216848294,0.0,0.0,0.0692004101324783,-1.0499123301567876,0.07688934459164255,0.07688934459164255,6.459172144802335,0.0,5.735330003264096,6.708352988829241,6.708352988829241,0.07525530724782546,0.014234809952250935,2018-01-01 02:00:00,2,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.2465420299185537,0.0,5.292883578766476,0.0,-0.0,-0.0,0.0,5.292883578766476,0.0,0.8653804639930032,0.0,0.8653804639930032,0.0,0.0,4.017700406324388,0.0,5.129622900235945,4.264242436242942,4.264242436242942,0.13348716405932579,0.014192105522394183,2018-01-01 03:00:00,3,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.2428022242695858,0.0,5.53301268248963,0.0,-0.0,-0.0,0.0,5.53301268248963,0.0,0.849229022200834,0.0,0.849229022200834,0.0,0.0,4.199976623671997,0.0,5.292007870142418,4.442778847941583,4.442778847941583,0.19023550674530063,0.014149529205827002,2018-01-01 04:00:00,4,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.2444537115805085,0.0,5.651737682471434,0.0,-0.0,-0.0,0.0,5.651737682471434,0.0,0.1349360484464539,0.0,0.1349360484464539,0.0,0.0,4.290097910786897,0.0,4.669487670813859,4.534551622367405,4.534551622367405,0.19820021153300374,0.014107080618209521,2018-01-01 05:00:00,5,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.2524838186487519,0.7648982443794166,4.8650225063003525,0.0,-0.0,-0.0,0.7648982443794166,4.8650225063003525,0.0,2.3897158662601368,0.0,2.3897158662601368,0.0,0.8498869381993517,3.69292137441941,0.0,7.18500799752765,4.795292131267514,4.795292131267514,0.36126700932651346,0.014064759376354891,2018-01-01 06:00:00,6,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.0,0.4432844446030232,0.0,6.3000938437443015,0.0,-0.0,0.061351752025171485,-0.061351752025171485,6.3000938437443015,0.0,0.6482380671519957,0.0,0.6482380671519957,-0.06816861336130164,-0.06816861336130164,4.841656277842155,0.0,5.865010176235873,5.284940722445179,5.284940722445179,0.4028455543391554,0.0,2018-01-01 07:00:00,7,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.247099,0.4507386922455247,0.0,5.7221342859128725,0.0,-0.0,-0.0,0.0,5.7221342859128725,0.0,0.9963860337367841,0.0692004101324783,0.9963860337367841,0.07688934459164255,0.07688934459164255,4.397491223968874,0.0,5.674406294542825,4.601130916214398,4.8482299162143985,0.468364311452778,0.014234809952250935,2018-01-01 08:00:00,8,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
-0.9490689999999999,0.4495289000356087,0.0,5.488617653386158,0.0,-0.0,-0.0,0.0,5.488617653386158,0.0,2.013902305711375,0.0,2.013902305711375,0.0,0.0,4.16627742666276,0.0,5.680639632409744,3.666737326698369,4.615806326698369,0.6069674065406512,0.014192105522394183,2018-01-01 09:00:00,9,train,0,0,resstock-amy2018-2021-release-1-130161,travis_resstock-amy2018-2021-release-1-130161
