solar_generation,non_shiftable_load_demand,dhw_demand,heating_demand,cooling_demand,energy_from_electrical_storage,energy_from_dhw_storage,energy_from_dhw_device,energy_from_heating_device,energy_from_cooling_device,energy_to_electrical_storage,energy_from_dhw_device_to_dhw_storage,electrical_storage_electricity_consumption,dhw_storage_electricity_consumption,dhw_electricity_consumption,heating_electricity_consumption,cooling_electricity_consumption,net_electricity_consumption,net_electricity_consumption_without_storage,net_electricity_consumption_without_storage_and_pv,electrical_storage_soc,dhw_storage_soc,timestamp,time_step,mode,episode,building_id,building_name,simulation_id
-0.0,0.3405955091656203,0.0,0.066157672417723,0.0,-0.0,-0.0,0.0,0.066157672417723,0.0,0.0,0.0,0.0,0.0,0.0,0.03753405585855415,0.0,0.37812956502417444,0.37812956502417444,0.37812956502417444,0.0,0.0,2018-01-01 00:00:00,0,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.3483330456763728,0.0,0.2269160809586655,0.0,-0.0,-0.0,0.0,0.2269160809586655,0.0,2.326954387128353,0.0,2.326954387128353,0.0,0.0,0.13087883343050488,0.0,2.806166266235231,0.4792118791068778,0.4792118791068778,0.16052397928019319,0.0,2018-01-01 01:00:00,1,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.336955721218225,0.0,0.3251070558514556,0.0,1.0499123301567876,-0.0,0.0,0.3251070558514556,0.0,0.0,0.2550309141629037,-1.0499123301567876,0.2833676824032263,0.2833676824032263,0.1875126347595226,0.0,-0.24207629177581375,0.5244683559777477,0.5244683559777477,0.07525530724782546,0.013428299102508168,2018-01-01 02:00:00,2,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.3457942492695925,0.0,0.5156923435069571,0.0,-0.0,-0.0,0.0,0.5156923435069571,0.0,0.8653804639930032,0.0,0.8653804639930032,0.0,0.0,0.30635188723185575,0.0,1.5175266004944514,0.6521461365014483,0.6521461365014483,0.13348716405932579,0.013388014205200643,2018-01-01 03:00:00,3,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.3805280385441151,0.0,0.6371454789210775,0.0,-0.0,-0.0,0.0,0.6371454789210775,0.0,0.849229022200834,0.0,0.849229022200834,0.0,0.0,0.38100558656210903,0.0,1.610762647307058,0.761533625106224,0.761533625106224,0.19023550674530063,0.01334785016258504,2018-01-01 04:00:00,4,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.4237122224146841,0.0,0.7496635301029574,0.0,-0.0,-0.0,0.0,0.7496635301029574,0.0,0.1349360484464539,0.0,0.1349360484464539,0.0,0.0,0.4512354738793536,0.0,1.0098837447404916,0.8749476962940377,0.8749476962940377,0.19820021153300374,0.013307806612097286,2018-01-01 05:00:00,5,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.5681668327982967,0.0,0.6522453497015759,0.0,-0.0,-0.0,0.0,0.6522453497015759,0.0,2.3897158662601368,0.0,2.3897158662601368,0.0,0.0,0.37588931280145826,0.0,3.333772011859892,0.9440561455997551,0.9440561455997551,0.36126700932651346,0.013267883192260995,2018-01-01 06:00:00,6,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.0,0.572454010959981,1.3834666531308533,0.4547095806405201,0.0,-0.0,-0.0,1.3834666531308533,0.4547095806405201,0.0,0.6482380671519957,0.0,0.6482380671519957,0.0,1.5371851701453925,0.290133725821234,0.0,3.048010974078603,2.3997729069266076,2.3997729069266076,0.4028455543391554,0.013228079542684212,2018-01-01 07:00:00,7,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-0.365188,0.7900460400004083,0.0,0.342192730559021,0.0,-0.0,-0.0,0.0,0.342192730559021,0.0,0.9963860337367841,0.25503091416290374,0.9963860337367841,0.28336768240322635,0.28336768240322635,0.1941942401459414,0.0,1.8988059962863602,0.6190522801463496,0.9842402801463497,0.468364311452778,0.026616694406564327,2018-01-01 08:00:00,8,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-1.3643800000000001,0.7813153824974146,0.8187626115265343,0.0,0.46374936898573,-0.0,-0.0,0.8187626115265343,0.0,0.46374936898573,2.013902305711375,0.0,2.013902305711375,0.0,0.9097362350294825,0.0,0.0231874684492865,2.3637613916875586,0.3498590859761834,1.7142390859761836,0.6069674065406512,0.026536844323344636,2018-01-01 09:00:00,9,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
-2.3960100000000004,0.7630673976828377,0.0,0.0,0.5623213825977509,-0.0,0.2550309141629037,-0.2550309141629037,0.0,0.5623213825977509,2.1108751290960357,0.0,2.1108751290960357,-0.2833676824032263,-0.2833676824032263,0.0,0.028116069129887546,0.22268091350553432,-1.604826533187275,0.7911834668127253,0.7507462372453827,0.011536901454254416,2018-01-01 10:00:00,10,train,0,0,resstock-amy2018-2021-release-1-108541,alameda_resstock-amy2018-2021-release-1-108541
